0;Lernen Mathematik & DIM;Uebungsblaetter;12.06.2022;12:00;false
1;Lernen BWL;Kapitel 1;13.06.2022;17:15;false
2;Klausur Englisch;Klett;20.06.2022;09:45;false
3;Pruefung DIM;Hauber;05.07.2022;11:30;false
4;Pruefung BWL;Brockmann;07.07.2022;11:30;false
5;Pruefung GDI;Rozek;12.07.2022;08:30;false
6;Pruefung Mathematik 1;Muessigmann;15.07.2022;08:30;false
7;1. Tag Vorlesungsfrei;Arbeiten;16.07.2022;00:00;false
8;Eroeffnung Wintersemester;WS 22/23;26.09.2022;00:00;false
